"","X","X1a","X1b","X1c","X1d","X1e","X2a","X2b","X2c","X2d","X2e","X3a","X3b","X3c","X3d","X3e","X4a","X4b","X4c","X4d","X4e","X5a","X5b","X5c","X5d","X5e","X6a","X6b","X6c","X6d","X6e","X7a","X7b","X7c","X7d","X7e","X8a","X8b","X8c","X8d","X8e","X9a","X9b","X9c","X9d","X9e","X10a","X10b","X10c","X10d","X10e","X11.1","X11.2","X11.3","X11.4","X11.5","X11.6","X11.7","X11.8","X11.9","X11.10","X12","X13","X14","Area","Utbildningsnivå","Sysselsättning","Tid.i.UppVäs","Ålder","Kön"
"700",700,7,7,7,7,7,8,6,8,4,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,6,7,7,7,7,7,7,7,7,7,7,7,7,7,9,10,8,6,7,7,8,5,6,6,3,6,1,5,1,6,2,5,5,1,4,3,4,"Sjukyrkoberget","Högskola/universitet","Pensionär","10 år eller mer","55-64","Man"
"701",701,5,4,5,11,11,8,11,5,3,11,4,11,11,8,11,11,10,10,10,10,11,4,11,8,11,10,11,11,11,11,11,10,11,10,11,11,12,13,12,10,3,5,11,4,10,11,11,11,11,11,14,2,3,13,13,13,14,14,14,8,0,0,7,"Norra Bollstanäs","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Man"
"702",702,14,9,4,9,8,14,10,9,7,0,14,11,8,10,7,10,12,7,7,11,14,8,14,7,14,12,6,6,14,10,14,9,14,9,14,8,14,14,11,7,11,11,10,4,7,14,7,11,9,14,2,4,5,6,7,7,8,7,8,9,9,7,2,"Grimstaby","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","15-24","Man"
"703",703,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,5,5,5,"Sjukyrkoberget","Högskola/universitet","Egen företagare","10 år eller mer","65+","Man"
"704",704,10,5,3,11,8,13,6,8,10,3,3,11,8,13,9,6,12,4,11,9,14,3,12,11,7,11,0,9,14,14,9,9,14,12,5,4,14,9,8,5,14,12,10,0,2,13,8,11,14,7,3,1,0,10,13,9,14,14,12,11,10,0,2,"Odenslunda","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"705",705,8,6,9,6,6,6,6,8,9,9,6,8,8,6,8,8,7,7,7,7,10,6,10,6,7,10,10,9,10,9,7,8,8,9,6,7,9,7,9,7,8,9,9,5,8,7,7,7,7,7,0,0,0,0,2,0,0,3,0,0,3,3,5,"Brunnby/Vik","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"706",706,8,9,6,8,7,7,6,5,8,6,6,8,5,9,9,8,6,8,9,7,8,8,8,6,8,11,6,11,11,10,8,9,11,10,8,8,9,9,8,9,9,9,8,6,8,10,9,11,8,11,3,1,1,3,4,6,6,6,5,3,4,6,4,"Njursta","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"707",707,13,7,13,13,7,14,14,14,7,3,7,14,7,7,14,14,7,14,14,14,14,7,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,7,14,7,14,14,14,7,12,7,14,11,12,14,14,14,11,10,0,0,"Södra Bollstanäs","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Kvinna"
"708",708,14,9,10,9,10,12,12,7,7,7,7,7,9,8,10,8,8,8,8,10,8,8,8,11,8,6,11,11,11,11,12,12,12,12,12,11,11,11,5,11,13,13,13,5,7,8,8,8,8,14,5,8,3,7,7,7,11,11,11,9,9,7,9,"Odenslunda","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Vill ej uppge"
"709",709,14,8,8,14,8,11,10,8,8,6,6,6,9,10,9,10,7,7,7,7,7,7,7,7,7,10,10,10,10,7,9,9,10,10,11,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,10,5,5,"Smedby 2","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Kvinna"
"710",710,12,12,9,12,12,12,12,13,11,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,4,13,13,13,12,12,13,6,14,14,11,13,7,7,14,14,14,7,7,7,7,7,7,7,7,7,7,8,8,10,10,10,10,9,8,2,7,"Runby","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","35-44","Kvinna"
"711",711,5,11,14,4,9,9,2,4,0,14,5,14,6,7,10,14,9,12,11,13,14,13,10,3,8,14,3,8,12,13,8,9,11,10,12,11,10,12,6,0,10,8,9,0,14,4,5,14,6,7,1,2,3,14,8,12,11,13,4,5,1,1,5,"Fresta glesbygd","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","15-24","Kvinna"
"712",712,10,6,9,6,9,8,8,9,6,10,8,8,9,9,9,8,8,7,7,7,8,8,8,8,9,10,7,10,13,10,8,10,8,9,8,8,11,9,10,9,9,8,8,6,8,9,9,10,10,11,2,1,5,2,5,11,4,11,5,9,8,5,3,"Prästgårdsmarken","Högskola/universitet","Förvärvsarbetande (anställd)","5-9 år","35-44","Man"
"713",713,6,11,6,11,6,10,10,9,4,5,5,6,9,10,13,5,9,11,11,7,10,9,8,6,5,3,11,9,11,11,10,10,10,10,10,10,10,10,10,10,10,8,10,10,7,7,7,7,7,7,3,3,1,5,6,13,13,13,9,3,7,2,2,"Vilunda/Korpkulla","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Man"
"714",714,9,8,8,9,8,8,9,9,6,7,6,9,8,8,9,8,8,8,10,11,8,9,8,8,7,9,6,8,9,9,7,7,7,7,7,7,7,7,7,7,10,8,8,8,8,8,8,9,10,9,2,2,2,6,3,3,3,3,4,5,7,4,6,"Norra Bollstanäs","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","35-44","Kvinna"
"715",715,11,5,7,9,9,8,8,8,6,7,8,5,9,6,5,9,6,5,9,5,8,8,8,10,8,14,5,14,14,14,7,7,14,8,14,14,14,10,10,10,7,7,7,7,7,9,9,9,10,10,3,2,2,5,2,14,3,14,3,7,9,4,3,"Sanda Ängar","Högskola/universitet","Förvärvsarbetande (anställd)","0-4 år","35-44","Kvinna"
"716",716,14,6,0,9,12,11,7,9,7,2,5,8,7,11,10,10,8,7,9,8,8,5,8,9,7,8,7,7,8,8,9,8,8,8,8,8,9,7,7,11,11,13,13,7,7,11,7,8,8,12,14,7,10,8,4,2,5,1,12,9,10,9,2,"Runby Backar/Lövsta","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","35-44","Kvinna"
"717",717,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,5,5,5,"Södra Bollstanäs","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"718",718,8,9,7,7,7,6,8,8,8,6,6,6,8,8,8,8,6,6,8,8,9,8,8,9,9,8,8,7,11,11,7,7,7,7,7,9,10,9,8,9,8,8,8,5,9,6,6,6,8,8,11,6,9,9,12,13,9,13,9,7,7,5,2,"Messingen/Optimus","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","25-34","Man"
"719",719,14,10,0,12,11,12,11,7,4,0,4,6,10,9,13,9,7,11,2,14,5,6,8,3,7,10,5,10,14,14,5,9,5,8,9,8,14,13,9,10,9,8,0,6,10,10,7,10,8,14,13,4,3,13,3,12,6,12,2,8,10,7,0,"Frestaby","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","35-44","Man"
"720",720,12,9,6,10,14,10,9,11,3,5,7,3,11,12,7,8,9,12,7,13,10,7,8,9,11,7,7,9,14,13,7,7,14,7,14,14,12,7,7,7,7,7,7,6,8,9,10,14,13,11,4,5,11,12,9,14,13,14,10,8,8,2,2,"Runby","Högskola/universitet","Har sjuk- eller aktivitetsersättning","5-9 år","55-64","Kvinna"
"721",721,12,10,3,11,9,10,10,11,3,11,11,3,4,9,11,4,11,11,10,11,11,11,6,10,10,11,3,9,10,11,11,11,11,11,11,11,11,11,11,9,11,11,11,7,7,11,11,11,12,11,12,12,12,12,12,12,12,12,12,12,5,8,5,"Brunnby/Vik","Annan eftergymnasial utbildning","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"722",722,14,14,14,14,14,12,12,13,11,14,6,0,10,8,14,9,14,9,14,14,14,8,13,4,14,1,12,10,14,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,10,7,10,"Carlslund/Brunnby Park","Annan eftergymnasial utbildning","Förvärvsarbetande (anställd)","0-4 år","45-54","Vill ej uppge"
"723",723,10,6,8,11,3,6,6,8,6,9,5,10,6,8,11,9,10,6,9,10,6,6,5,9,7,6,6,5,5,5,11,5,11,5,6,6,6,6,6,9,11,10,10,6,9,9,9,9,9,9,2,6,8,2,4,9,2,2,3,3,1,2,2,"Vilunda/Korpkulla","Gymnasium, folkhögskola eller motsvarande","Arbetssökande eller i arbetsmarknadspolitisk åtgärd","10 år eller mer","55-64","Man"
"724",724,14,9,1,11,11,8,8,7,7,4,9,7,7,7,7,14,9,7,10,8,14,7,13,13,8,10,7,12,14,7,8,9,10,12,14,14,14,14,1,14,12,7,7,7,9,12,10,14,13,14,6,0,11,6,10,6,14,14,9,14,10,9,7,"Brunnby/Vik","Högskola/universitet","Egen företagare","10 år eller mer","35-44","Kvinna"
"725",725,14,5,0,14,7,14,14,4,12,0,14,0,2,0,14,3,14,3,14,14,14,8,14,8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,7,7,7,7,14,14,14,14,14,10,12,2,10,10,14,14,14,14,14,8,8,5,"Ekebo","Annan eftergymnasial utbildning","Pensionär","10 år eller mer","65+","Kvinna"
"726",726,11,14,13,12,7,14,12,14,0,13,12,5,13,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,10,11,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vilunda/Korpkulla","Högskola/universitet","Egen företagare","10 år eller mer","45-54","Man"
"727",727,6,9,10,10,8,10,8,10,6,11,9,4,5,6,9,4,6,6,10,11,6,5,9,9,5,9,9,9,10,10,9,6,9,9,10,9,10,9,9,10,9,9,10,5,10,6,11,6,6,9,1,1,1,9,1,2,10,12,14,4,2,2,8,"Stora Wäsby gård","Högskola/universitet","Förvärvsarbetande (anställd)","5-9 år","45-54","Kvinna"
"728",728,14,10,5,8,11,14,14,2,11,2,5,5,5,9,11,6,5,5,12,8,9,9,9,10,9,9,9,10,11,11,11,11,11,11,12,11,11,11,9,11,11,11,11,4,2,8,8,10,10,9,3,12,4,12,3,2,12,12,12,2,9,1,0,"Dragonvägen","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Kvinna"
"729",729,11,10,10,10,10,8,8,8,9,7,7,7,7,7,7,8,10,8,9,8,8,8,8,8,8,8,8,9,9,8,8,8,11,9,12,10,9,9,9,9,11,10,7,7,7,9,8,9,10,9,8,11,8,11,8,13,12,13,13,10,5,5,5,"Stallgatan","Grundskola eller motsvarande obligatorisk skola","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Kvinna"
"730",730,11,10,6,9,8,11,10,9,6,7,6,7,8,9,11,11,10,8,9,7,10,8,11,6,7,7,8,9,10,11,8,7,11,10,9,8,11,10,7,9,10,9,8,7,4,11,9,10,8,7,5,7,4,6,8,12,11,12,10,9,8,8,4,"Frestaby","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Man"
"731",731,12,4,8,5,10,8,14,1,1,6,8,6,7,9,9,8,10,14,4,14,8,9,7,12,6,7,5,7,14,11,7,7,7,7,7,7,14,14,7,10,7,7,7,7,5,8,8,8,9,7,7,5,5,9,4,10,5,10,4,4,7,5,2,"Smedby 3","Forskarutbildning","Förvärvsarbetande (anställd)","0-4 år","35-44","Man"
"732",732,7,7,7,7,7,8,8,7,7,7,7,7,7,7,7,12,10,9,10,6,7,7,8,7,7,10,5,7,7,7,7,7,10,7,7,8,7,10,7,7,7,7,7,7,7,7,7,7,7,7,2,4,1,1,1,1,3,3,0,0,8,1,2,"Runby","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Kvinna"
"733",733,8,10,11,8,7,9,10,6,6,11,8,8,8,4,11,7,7,7,7,7,6,7,6,6,4,10,7,10,10,10,11,4,11,9,7,10,8,8,7,11,11,11,11,10,7,7,9,8,6,10,8,0,6,7,0,6,11,5,11,1,5,5,9,"Odenslunda","Annan eftergymnasial utbildning","Pensionär","10 år eller mer","65+","Kvinna"
