"","X","X1a","X1b","X1c","X1d","X1e","X2a","X2b","X2c","X2d","X2e","X3a","X3b","X3c","X3d","X3e","X4a","X4b","X4c","X4d","X4e","X5a","X5b","X5c","X5d","X5e","X6a","X6b","X6c","X6d","X6e","X7a","X7b","X7c","X7d","X7e","X8a","X8b","X8c","X8d","X8e","X9a","X9b","X9c","X9d","X9e","X10a","X10b","X10c","X10d","X10e","X11.1","X11.2","X11.3","X11.4","X11.5","X11.6","X11.7","X11.8","X11.9","X11.10","X12","X13","X14","Area","Utbildningsnivå","Sysselsättning","Tid.i.UppVäs","Ålder","Kön"
"175",175,9,9,7,10,7,7,8,10,9,8,7,7,7,7,7,12,6,6,11,8,8,8,9,8,8,14,2,10,14,12,8,9,10,10,11,11,14,12,12,7,10,14,8,7,10,7,7,9,10,13,11,2,7,11,10,14,13,14,14,8,8,7,8,"Södra Bollstanäs","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","35-44","Kvinna"
"176",176,14,11,6,8,8,14,14,10,7,7,3,3,9,11,14,11,8,4,7,7,14,14,6,6,11,14,14,14,14,14,0,14,14,14,14,14,14,14,5,5,14,8,14,14,4,6,14,8,8,14,14,14,2,2,14,14,14,14,14,2,10,10,6,"Runby","Annan eftergymnasial utbildning","Förvärvsarbetande (anställd)","10 år eller mer","65+","Man"
"177",177,14,13,9,11,12,14,14,14,14,8,12,13,8,14,14,13,14,10,12,14,14,14,14,14,14,10,11,9,14,14,14,14,13,11,7,8,9,14,14,8,14,9,14,8,14,9,10,8,14,14,14,11,8,9,13,10,7,7,7,7,10,10,10,"Ekebo","Högskola/universitet","Långtidssjukskriven (mer än 3 månader)","0-4 år","25-34","Kvinna"
"178",178,14,12,10,11,11,13,11,5,3,1,3,6,9,10,12,13,12,10,14,10,14,11,12,10,11,14,11,12,14,14,12,12,14,13,11,10,11,10,10,14,14,14,13,10,12,10,12,14,14,12,7,9,7,9,7,10,11,10,11,8,10,6,6,"Vilunda/Korpkulla","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"179",179,11,10,5,12,8,12,7,7,1,3,9,5,6,7,13,8,14,14,10,7,14,8,7,5,14,11,3,14,14,7,10,13,9,13,7,9,13,14,14,4,14,14,13,7,7,8,7,9,14,14,5,4,7,8,8,9,8,14,13,9,9,5,1,"Sigma/Apoteksskogen","Högskola/universitet","Förvärvsarbetande (anställd)","5-9 år","25-34","Kvinna"
"180",180,14,11,6,9,7,11,8,6,3,6,8,5,6,9,8,9,8,8,6,10,6,11,8,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,3,8,12,8,8,13,12,8,3,5,6,6,1,1,1,2,8,5,5,1,"Skälby","Högskola/universitet","Förvärvsarbetande (anställd)","0-4 år","35-44","Man"
"181",181,14,13,2,9,3,12,11,10,7,2,7,1,8,9,10,6,0,3,5,12,11,5,12,6,7,14,9,10,12,12,9,4,10,6,10,9,13,13,6,8,9,8,6,6,5,8,8,14,9,11,10,7,6,5,8,11,11,11,7,14,10,10,2,"Runby","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"182",182,10,8,8,9,9,10,11,9,8,11,10,8,9,9,10,9,5,5,5,8,9,9,9,9,7,9,10,10,9,11,10,9,10,10,10,9,9,10,10,10,12,12,12,10,5,10,11,11,11,12,11,2,6,6,6,4,4,4,8,2,7,8,7,"Carlslund/Brunnby Park","Grundskola eller motsvarande obligatorisk skola","Förvärvsarbetande (anställd)","10 år eller mer","35-44","Man"
"183",183,7,7,14,7,7,6,9,8,8,14,5,10,9,8,7,8,8,6,9,8,9,10,6,9,11,10,6,11,13,13,14,8,13,6,9,14,14,14,14,14,10,13,8,5,6,12,12,8,11,8,5,7,4,8,9,14,12,14,6,10,0,0,8,"Södra Bollstanäs","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Man"
"184",184,10,11,11,11,7,14,14,13,6,10,12,7,7,11,14,14,14,14,14,14,9,5,9,12,9,14,13,14,14,14,8,14,14,14,14,14,14,13,12,14,14,14,14,7,14,8,9,12,5,14,8,13,8,13,8,13,13,13,14,8,4,0,0,"Smedby 3","Gymnasium, folkhögskola eller motsvarande","Egen företagare","0-4 år","15-24","Man"
"185",185,8,8,10,8,8,8,8,8,3,11,7,8,8,9,11,7,7,7,7,7,8,8,7,7,7,4,9,9,7,7,8,11,7,7,7,7,7,7,7,7,9,9,7,7,7,7,7,7,7,7,2,9,6,6,2,9,5,8,5,2,3,3,2,"Brunnby/Vik","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Kvinna"
"186",186,14,11,0,12,13,14,13,12,7,0,13,4,11,12,14,8,4,14,4,14,14,11,13,12,10,11,10,12,14,13,12,14,12,13,12,7,14,14,13,14,13,9,11,7,14,11,6,12,13,14,13,14,11,14,12,14,10,14,13,11,10,5,5,"Runby","Högskola/universitet","Förvärvsarbetande (anställd)","5-9 år","35-44","Man"
"187",187,6,8,8,8,7,8,8,6,8,7,4,8,0,5,14,8,8,7,7,7,6,14,5,14,8,6,9,6,14,14,8,8,8,10,9,8,8,9,6,0,14,11,8,2,10,6,6,5,8,6,1,1,2,3,4,14,12,13,11,0,8,3,2,"Södra Bollstanäs","Gymnasium, folkhögskola eller motsvarande","Egen företagare","10 år eller mer","45-54","Man"
"188",188,9,6,11,8,4,11,6,9,1,13,11,13,8,9,10,13,8,6,10,12,13,12,9,6,10,11,6,10,13,12,8,13,12,11,9,9,13,12,11,10,13,12,11,4,10,12,13,11,10,9,8,5,7,10,6,13,12,14,11,9,3,3,3,"Runby Backar/Lövsta","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"189",189,5,9,9,8,5,9,5,8,4,11,9,2,6,8,11,5,13,10,8,10,4,14,3,11,9,8,14,14,14,14,10,14,10,14,14,14,14,14,14,14,14,14,11,4,7,11,14,11,14,13,10,8,4,6,7,14,12,14,14,11,3,2,6,"Carlslund/Brunnby Park","Högskola/universitet","Förvärvsarbetande (anställd)","5-9 år","45-54","Kvinna"
"190",190,10,6,8,8,8,12,12,10,11,10,8,4,5,5,7,8,9,8,7,7,4,6,3,8,5,13,9,10,11,7,14,13,10,12,11,10,9,7,7,7,9,12,10,5,7,3,4,7,6,7,0,6,1,12,5,3,11,10,10,4,3,5,5,"Norra Bollstanäs","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"191",191,0,0,0,0,0,0,14,0,0,0,14,14,14,14,14,14,14,14,14,14,0,14,4,14,8,0,14,14,0,0,3,3,7,7,7,7,8,8,6,14,4,0,14,7,14,14,14,14,14,14,0,3,3,14,0,0,0,0,0,14,5,0,0,"Messingen/Optimus","Högskola/universitet","Student","10 år eller mer","15-24","Man"
"192",192,10,8,10,11,7,11,8,7,7,7,7,7,7,7,7,9,9,11,8,11,11,11,12,8,12,10,10,10,10,9,10,12,12,12,13,11,12,11,9,10,11,8,10,10,7,10,10,10,11,11,6,11,6,7,8,11,11,12,12,12,9,7,5,"Runby","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"193",193,8,6,10,8,7,9,8,10,4,9,8,11,6,6,10,6,11,6,6,9,11,5,8,9,8,8,6,8,11,10,8,6,8,8,6,6,11,10,6,14,10,11,10,4,9,10,7,8,6,9,10,9,8,8,7,9,10,11,11,6,2,1,7,"Norra Bollstanäs","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","0-4 år","45-54","Man"
"194",194,10,11,11,8,9,11,11,5,4,11,3,11,10,5,7,9,4,7,7,7,7,7,7,7,7,11,4,11,11,7,11,8,11,5,11,11,10,9,7,7,12,12,11,6,10,11,8,10,5,11,0,0,0,0,0,0,0,0,0,0,3,6,2,"Södra Bollstanäs","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Kvinna"
"195",195,9,10,10,11,8,11,11,8,7,7,9,8,8,8,12,7,7,7,7,7,8,8,8,12,7,11,11,11,14,14,12,14,14,14,14,13,14,14,14,14,14,14,14,8,14,7,7,7,7,7,5,14,6,4,11,14,14,14,14,4,8,8,9,"Runby Backar/Lövsta","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","65+","Man"
"196",196,8,8,8,8,8,9,8,8,8,6,6,6,8,7,7,9,8,7,7,7,7,7,7,7,7,9,8,8,10,10,9,9,8,9,9,9,9,9,10,10,8,7,7,7,7,9,9,9,10,9,2,5,2,2,2,3,4,7,2,2,8,3,5,"Frestaby","Högskola/universitet","Pensionär","10 år eller mer","65+","Man"
"197",197,11,8,8,10,9,9,9,9,6,7,7,7,7,7,7,7,11,13,13,13,9,9,8,9,10,9,6,9,9,11,9,8,9,10,11,9,9,10,10,7,10,8,10,7,9,9,10,12,11,9,6,4,6,7,7,9,10,10,10,12,7,7,5,"Odenslunda","Grundskola eller motsvarande obligatorisk skola","Förvärvsarbetande (anställd)","5-9 år","45-54","Kvinna"
"198",198,4,4,13,14,7,9,7,4,4,14,12,10,4,7,14,3,13,3,3,14,9,4,9,4,7,13,2,8,14,14,7,10,11,7,8,7,14,13,10,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,2,14,7,13,6,10,1,2,5,"Norra Bollstanäs","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"199",199,10,11,13,10,11,9,8,11,6,14,6,9,8,9,13,11,11,8,8,10,10,8,8,10,5,8,8,8,14,14,9,8,9,11,9,8,14,14,11,8,9,10,8,2,9,8,8,8,14,11,8,5,3,12,4,14,7,14,11,9,4,5,2,"Brunnby/Vik","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Man"
"200",200,11,6,11,8,5,14,14,5,3,14,3,14,5,14,11,5,14,5,9,14,11,11,11,14,5,4,11,10,11,14,14,10,14,10,2,2,11,12,14,9,11,14,14,0,5,5,3,12,14,11,3,0,0,0,0,0,0,0,0,0,6,7,5,"Södra Bollstanäs","Högskola/universitet","Pensionär","10 år eller mer","65+","Man"
"201",201,2,4,12,9,10,10,8,9,0,14,6,6,11,13,9,10,7,7,14,13,1,4,5,8,2,7,7,7,7,7,7,7,7,7,7,7,7,7,12,7,10,11,6,5,13,11,9,7,7,7,4,1,2,12,0,11,9,10,8,3,0,0,0,"Runby","Högskola/universitet","Förvärvsarbetande (anställd)","5-9 år","25-34","Man"
"202",202,14,7,0,9,8,10,8,7,4,0,0,8,7,7,8,8,7,7,8,8,8,7,8,7,8,8,4,8,8,8,8,8,9,8,9,8,8,8,4,7,8,9,7,6,3,14,9,14,9,14,2,1,1,4,3,11,11,11,3,14,10,10,0,"Odenslunda","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"203",203,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,5,5,5,"Skälby","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Man"
"204",204,13,5,10,6,9,10,8,6,4,8,5,10,7,7,10,10,4,5,8,12,8,4,10,7,5,6,8,9,12,12,9,8,13,6,10,10,12,12,8,6,10,9,5,9,6,10,8,8,7,9,6,5,4,4,5,11,10,11,8,10,6,6,5,"Norra Bollstanäs","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Man"
"205",205,13,9,5,7,11,7,7,7,7,14,7,13,7,7,7,14,14,10,14,14,12,8,14,9,3,13,7,9,14,13,7,9,9,9,11,11,12,12,12,12,13,14,10,0,8,11,14,9,12,11,7,1,7,14,8,12,8,12,11,6,5,6,6,"Odenslunda","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","35-44","Man"
"206",206,5,8,9,9,7,8,9,10,4,10,8,9,9,10,10,7,7,7,7,7,9,6,9,5,9,6,10,8,14,11,10,10,8,8,10,8,14,10,14,7,12,8,10,5,10,14,10,14,5,14,12,4,8,8,7,14,6,11,13,14,3,3,3,"Dragonvägen","Högskola/universitet","Förvärvsarbetande (anställd)","5-9 år","25-34","Man"
"207",207,10,8,9,10,9,8,8,9,4,11,11,10,10,10,11,5,11,6,11,10,8,10,5,8,10,9,4,10,13,13,10,12,10,9,8,9,12,9,8,8,12,12,12,3,9,11,11,11,14,14,5,9,9,10,9,11,8,11,11,11,2,3,7,"Vilunda/Korpkulla","Högskola/universitet","Förvärvsarbetande (anställd)","5-9 år","55-64","Man"
"208",208,11,9,0,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,11,14,14,14,8,8,8,8,8,14,14,14,14,10,7,7,7,7,7,11,11,10,8,14,3,1,2,1,2,4,2,14,1,2,7,6,4,"Brunnby/Vik","Annan eftergymnasial utbildning","Förvärvsarbetande (anställd)","0-4 år","25-34","Man"
"209",209,14,14,14,14,14,14,10,8,8,0,8,8,8,14,14,14,14,14,14,14,9,14,10,14,10,14,4,12,14,14,10,10,14,14,14,14,14,7,7,7,14,14,14,7,7,14,14,14,14,14,8,14,8,14,8,14,14,14,14,14,10,8,7,"Runby","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"210",210,8,8,9,10,7,8,9,8,9,7,6,6,6,8,6,6,9,8,8,10,9,6,8,8,7,10,9,8,8,9,11,8,10,8,9,8,8,8,8,10,8,9,8,8,7,8,9,8,8,8,2,5,1,4,1,1,5,1,6,3,4,6,5,"Brunnby/Vik","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Man"
"211",211,7,13,5,5,14,9,5,11,4,11,7,7,7,7,7,3,3,3,4,6,9,0,5,0,1,8,9,9,12,10,12,9,12,7,10,9,11,8,7,14,10,10,8,7,7,8,8,8,6,9,1,1,2,1,1,3,3,3,3,1,4,4,6,"Södra Bollstanäs","Högskola/universitet","Pensionär","10 år eller mer","65+","Kvinna"
"212",212,14,14,3,14,7,14,7,7,0,0,7,7,7,14,7,0,14,7,0,14,14,3,0,14,9,13,2,7,14,14,11,14,12,14,14,14,14,14,14,4,10,7,14,7,0,11,14,8,14,14,13,9,13,6,6,14,8,14,6,14,10,6,3,"Vilunda/Korpkulla","Annan eftergymnasial utbildning","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"213",213,8,9,9,8,7,9,9,7,5,10,6,9,9,9,10,9,10,10,7,7,8,8,8,8,6,9,9,6,11,8,9,9,9,7,7,8,9,9,7,7,8,11,5,7,7,9,8,9,9,10,0,0,0,0,0,0,0,0,0,0,3,2,7,"Odenslunda","Högskola/universitet","Egen företagare","10 år eller mer","45-54","Man"
"214",214,7,7,7,7,7,7,5,6,0,14,7,7,7,7,7,4,12,14,9,14,7,7,7,7,7,12,6,9,12,7,8,8,9,10,14,14,8,8,8,14,14,14,8,7,7,7,11,7,14,7,5,4,4,9,6,14,13,14,11,8,0,2,5,"Carlslund/Brunnby Park","Högskola/universitet","Arbetssökande eller i arbetsmarknadspolitisk åtgärd","10 år eller mer","35-44","Kvinna"
"215",215,7,11,13,7,8,14,6,9,8,11,8,5,10,8,12,8,6,6,7,7,6,2,5,10,6,8,6,8,11,12,8,6,8,6,9,6,11,10,9,13,9,10,6,8,7,8,6,4,8,10,3,6,4,4,7,12,8,13,9,5,1,8,2,"Odenslunda","Grundskola eller motsvarande obligatorisk skola","Pensionär","10 år eller mer","55-64","Kvinna"
"216",216,11,6,5,10,7,10,8,9,8,7,8,9,8,9,8,8,10,6,9,10,8,8,6,8,7,9,10,11,12,12,9,9,8,8,10,12,11,12,10,9,9,11,8,7,7,8,9,10,11,12,5,4,5,7,8,8,9,12,10,9,6,6,6,"Sjukyrkoberget","Högskola/universitet","Förvärvsarbetande (anställd)","0-4 år","35-44","Kvinna"
"217",217,8,5,11,11,11,10,12,5,9,14,11,4,5,3,11,4,11,14,12,7,8,8,8,3,5,14,14,14,14,14,8,8,11,10,10,12,14,14,8,4,14,12,10,3,3,10,11,11,14,9,1,1,5,7,2,14,14,14,8,1,0,9,8,"Carlslund/Brunnby Park","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"218",218,9,7,11,7,7,9,9,8,8,11,5,8,8,10,9,8,9,8,9,11,9,8,9,9,6,8,9,10,9,10,9,9,9,9,10,9,10,10,9,8,11,11,11,11,6,9,10,8,11,8,2,4,3,8,6,10,11,10,12,6,3,3,3,"Norra Bollstanäs","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"219",219,3,7,7,7,7,4,7,7,7,7,7,7,7,7,7,1,7,7,7,7,5,7,7,7,7,7,7,7,7,7,4,7,7,7,7,5,7,7,7,7,9,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,1,4,"Eds Glesbygd","Högskola/universitet","Egen företagare","10 år eller mer","55-64","Kvinna"
"220",220,9,9,7,7,7,10,8,9,0,7,9,10,10,9,9,8,9,9,10,13,10,8,12,9,10,9,12,8,12,14,8,8,9,8,13,13,14,14,14,10,12,12,12,11,7,12,12,12,11,14,6,5,4,12,7,14,6,14,8,9,7,6,3,"Södra Bollstanäs","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","35-44","Man"
"221",221,10,5,8,8,14,10,8,8,1,6,6,12,9,9,6,11,6,6,14,7,7,7,7,7,7,6,9,9,14,9,7,7,7,7,7,6,11,9,8,7,7,7,7,7,10,8,8,8,11,8,8,4,7,11,4,14,5,14,11,5,7,2,2,"Carlslund/Brunnby Park","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"222",222,7,7,7,7,7,9,9,7,7,7,7,7,7,7,7,9,9,9,9,11,7,7,7,7,7,14,14,11,11,11,9,11,10,8,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,8,2,5,"Grimstaby","Annan eftergymnasial utbildning","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"223",223,14,7,4,5,6,10,8,5,4,0,10,4,6,11,7,2,3,14,4,12,9,2,8,3,4,10,0,9,11,13,4,4,4,4,4,8,8,8,5,6,7,7,7,7,7,3,10,5,11,13,6,5,3,0,5,10,4,7,7,9,10,7,1,"Prästgårdsmarken","Forskarutbildning","Egen företagare","10 år eller mer","35-44","Man"
"224",224,9,9,10,9,9,11,10,10,8,10,8,8,8,8,10,11,11,11,11,11,8,8,8,10,8,11,11,11,11,11,8,11,8,11,10,10,11,11,11,9,11,11,11,10,10,10,10,10,10,10,2,9,2,12,4,14,14,14,12,7,5,5,5,"Sjukyrkoberget","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","5-9 år","35-44","Kvinna"
"225",225,14,4,12,11,9,10,8,9,2,13,8,9,8,11,10,10,6,8,9,7,13,7,14,7,11,12,7,10,14,11,7,12,10,9,7,7,14,13,6,10,10,12,7,7,7,11,7,13,10,14,5,7,1,11,8,12,2,14,10,9,5,6,4,"Frestaby","Högskola/universitet","Förvärvsarbetande (anställd)","5-9 år","45-54","Man"
"226",226,10,5,9,5,9,10,9,8,5,9,4,5,9,9,6,6,8,5,9,9,9,9,5,7,8,3,10,10,10,10,9,9,9,6,9,9,9,9,8,8,11,11,11,5,10,13,11,11,12,13,7,11,7,9,4,14,14,14,10,3,8,2,2,"Skälby","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","0-4 år","45-54","Kvinna"
"227",227,14,14,1,14,14,14,14,11,3,0,5,2,11,12,13,14,14,1,14,14,13,4,14,4,6,10,4,10,14,14,4,14,12,14,14,14,14,14,6,7,14,13,14,3,3,14,13,13,14,13,4,4,4,8,4,14,14,14,5,5,10,9,3,"Odenslunda","Annan eftergymnasial utbildning","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"228",228,11,10,5,7,7,9,8,8,6,8,8,8,8,10,10,8,9,7,7,7,8,8,7,7,7,8,8,8,8,8,8,8,8,8,10,8,7,7,7,7,8,8,7,7,7,8,8,8,9,8,1,0,0,0,0,0,0,0,0,0,4,4,5,"Runby","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"229",229,14,9,4,14,14,12,12,8,8,3,3,0,6,6,14,8,14,6,12,7,8,8,13,9,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,13,9,7,7,9,8,8,9,11,9,11,10,6,4,7,8,6,12,2,10,4,2,"Prästgårdsmarken","Grundskola eller motsvarande obligatorisk skola","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"230",230,14,9,6,9,7,8,8,9,5,2,7,5,4,8,11,9,11,6,10,5,14,4,8,6,10,13,8,9,14,10,8,11,11,10,14,14,8,10,3,6,10,9,8,8,5,14,10,11,14,14,9,4,4,4,12,14,14,14,14,14,10,5,3,"Runby","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","25-34","Kvinna"
"231",231,10,7,6,14,3,14,12,6,7,9,8,11,10,10,11,11,10,9,9,7,9,8,6,5,11,9,9,12,14,12,8,12,11,13,14,14,13,12,11,10,14,14,10,9,6,14,11,13,10,14,9,11,6,8,8,12,14,13,13,8,5,5,4,"Norra Bollstanäs","Högskola/universitet","Pensionär","10 år eller mer","65+","Kvinna"
"232",232,8,8,8,8,8,9,9,8,8,9,9,8,9,9,7,8,7,7,7,7,9,8,8,9,8,8,8,8,9,7,8,8,8,5,9,10,7,7,7,7,7,7,7,7,7,8,9,8,8,9,2,2,1,3,1,1,1,1,1,3,5,4,2,"Sigma/Apoteksskogen","Högskola/universitet","Förvärvsarbetande (anställd)","0-4 år","35-44","Man"
"233",233,14,14,8,14,14,14,14,14,11,0,6,9,9,9,14,12,14,14,9,14,14,8,14,8,12,13,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,7,7,7,7,14,13,14,13,9,10,10,10,"Södra Bollstanäs","Gymnasium, folkhögskola eller motsvarande","Egen företagare","10 år eller mer","25-34","Man"
"234",234,12,9,6,10,11,13,12,11,8,7,5,9,6,8,12,11,13,8,12,7,9,12,9,10,8,13,4,12,14,14,11,13,9,8,12,11,13,12,9,7,9,8,7,6,11,8,9,11,10,8,6,3,7,2,1,9,8,10,5,4,8,8,5,"Prästgårdsmarken","Gymnasium, folkhögskola eller motsvarande","Tjänstledig eller föräldraledig","5-9 år","25-34","Kvinna"
"235",235,6,7,10,9,12,9,11,9,4,10,12,8,6,4,9,13,13,3,14,4,12,10,13,6,9,9,11,8,14,12,9,8,14,10,14,12,14,13,11,8,10,9,11,13,5,8,9,12,14,13,2,4,2,14,7,9,10,9,8,14,3,4,3,"Sigma/Apoteksskogen","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","0-4 år","25-34","Kvinna"
"236",236,13,5,8,9,8,11,11,11,11,3,1,8,6,12,12,11,9,10,10,10,9,9,8,10,7,13,5,9,14,14,10,6,12,9,10,12,12,12,6,6,12,12,12,14,8,8,8,10,9,9,5,5,5,7,7,12,13,13,12,12,10,2,3,"Vilunda/Korpkulla","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"237",237,10,0,14,14,14,14,14,14,0,14,11,14,5,7,12,14,6,9,12,14,9,8,8,8,11,14,9,14,14,14,10,10,10,10,10,9,14,14,9,8,14,8,8,0,14,8,8,8,8,8,1,1,1,1,1,14,5,14,14,5,0,0,0,"Södra Bollstanäs","Forskarutbildning","Förvärvsarbetande (anställd)","0-4 år","45-54","Kvinna"
"238",238,12,10,9,14,11,14,13,9,10,5,11,13,0,7,14,12,14,8,11,9,7,6,10,5,14,8,5,13,14,14,9,11,10,14,13,12,13,14,10,11,14,13,12,7,6,7,10,13,14,12,14,13,7,10,3,11,8,11,7,12,10,1,5,"Runby","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"239",239,11,9,4,11,11,9,8,10,8,0,12,10,11,11,8,14,10,14,14,14,11,14,14,13,12,14,11,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,14,8,14,11,14,13,8,14,10,1,6,7,10,13,12,14,11,11,10,10,1,"Sjukyrkoberget","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","35-44","Man"
"240",240,11,6,12,13,9,11,10,6,6,13,9,8,5,6,12,8,10,10,8,10,11,13,10,10,9,9,13,9,13,13,12,12,11,11,7,7,12,12,12,6,9,9,9,7,12,8,10,9,12,10,1,11,1,2,8,9,7,9,10,3,1,1,5,"Skälby","Gymnasium, folkhögskola eller motsvarande","Student","10 år eller mer","15-24","Kvinna"
"241",241,9,6,7,13,7,14,14,7,7,14,7,13,7,13,13,10,9,7,14,14,7,7,7,7,7,9,7,7,14,14,7,7,7,7,14,14,14,7,7,10,11,12,14,8,0,7,14,7,7,7,10,5,3,14,10,12,13,14,13,6,2,1,1,"Dragonvägen","Forskarutbildning","Pensionär","10 år eller mer","65+","Man"
"242",242,4,5,10,8,6,11,10,8,3,5,4,11,7,9,10,10,8,4,9,13,13,0,11,9,7,11,0,9,7,14,12,10,9,14,0,0,14,10,5,8,8,8,11,6,10,2,4,5,12,5,1,5,11,12,8,12,2,10,6,0,7,5,1,"Södra Bollstanäs","Gymnasium, folkhögskola eller motsvarande","Arbetssökande eller i arbetsmarknadspolitisk åtgärd","10 år eller mer","15-24","Man"
"243",243,8,14,4,7,11,2,4,8,0,10,10,4,3,2,14,7,10,11,13,14,14,12,11,0,1,7,11,12,14,13,0,13,0,12,14,11,12,13,14,7,13,14,12,11,7,6,14,5,8,12,13,0,0,14,9,10,0,11,12,0,5,3,0,"Runby Backar/Lövsta","Högskola/universitet","Förvärvsarbetande (anställd)","0-4 år","35-44","Man"
"244",244,9,6,11,7,7,6,9,6,8,8,6,8,6,9,9,11,11,11,11,11,9,9,8,9,9,9,8,9,11,11,8,9,9,11,11,11,8,8,11,7,11,7,7,7,7,11,8,11,9,11,1,3,0,0,0,0,0,0,0,0,8,5,2,"Hasselgatan","Högskola/universitet","Pensionär","5-9 år","65+","Kvinna"
"245",245,10,9,7,9,10,11,11,8,7,7,8,10,8,6,10,9,10,9,10,11,11,9,9,11,7,10,7,11,14,14,10,10,10,7,10,10,14,14,7,7,14,10,14,10,7,10,6,8,11,14,7,11,5,8,6,14,13,14,14,10,8,7,2,"Norra Bollstanäs","Högskola/universitet","Student","10 år eller mer","15-24","Kvinna"
"246",246,14,8,5,8,7,9,9,8,7,6,8,6,6,8,8,6,6,8,7,7,12,6,14,7,8,9,7,9,8,8,9,9,8,8,8,8,9,10,11,10,11,10,8,12,10,13,13,11,11,11,14,3,4,3,8,8,7,6,6,8,10,10,5,"Frestaby","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","25-34","Man"
"247",247,14,9,9,10,14,12,9,7,7,4,6,8,5,8,14,4,11,8,8,7,12,4,11,10,7,11,6,12,13,8,11,14,11,14,14,14,14,14,9,11,14,14,14,14,7,11,14,11,14,11,11,6,8,14,14,14,14,14,14,14,10,10,0,"Sigma/Apoteksskogen","Gymnasium, folkhögskola eller motsvarande","Har sjuk- eller aktivitetsersättning","10 år eller mer","35-44","Kvinna"
